sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	18	1035930	0.5578079193955935	0.16054177444693024	632422	352770	2197372	0.5	0.03333333333333333	4	2	60
gsa	60	evo_1035930.032	0.7680639112007197	0.15438217454792968	461265	354281	2294831	0.7692307692307693	0.1724137931034483	13	10	58
gsa	74	1052947	1.0	0.15422765134955752	735210	735210	4767044	1.0	0.14583333333333334	7	7	48
gsa	43	evo_1049056.031	1.0	0.1536016538038466	518481	518481	3375491	1.0	0.05714285714285714	2	2	35
gsa	62	evo_1035930.029	1.0	0.15339264467503824	370003	370003	2412130	1.0	0.05084745762711865	3	3	59
gsa	47	evo_1286_AP.008	1.0	0.12223140285832998	413623	413623	3383934	1.0	0.1111111111111111	2	2	18
gsa	84	evo_1049056.015	0.7685859525355515	0.11712918540855863	512847	394167	3365233	0.8	0.15384615384615385	5	4	26
gsa	27	evo_1035930.011	1.0	0.11602359739009822	262321	262321	2260928	1.0	0.017857142857142856	1	1	56
gsa	70	1035930	1.0	0.11540467431094963	253587	253587	2197372	1.0	0.03333333333333333	2	2	60
gsa	71	evo_1286_AP.037	1.0	0.1139409257189343	351276	351276	3082966	1.0	0.23529411764705882	4	4	17
gsa	64	evo_1035930.029	1.0	0.11293918652808928	272424	272424	2412130	1.0	0.01694915254237288	1	1	59
gsa	41	1035930	1.0	0.11244523002932594	247084	247084	2197372	1.0	0.1	6	6	60
gsa	11	evo_1035930.029	0.6681409053124391	0.11229452807269923	405407	270869	2412130	0.25	0.01694915254237288	4	1	59
gsa	52	1035930	1.0	0.10340989145215285	227230	227230	2197372	1.0	0.06666666666666667	4	4	60
gsa	31	1286_AP	0.500102557424018	0.10326232552667625	614290	307208	2975025	0.5	0.05555555555555555	2	1	18
gsa	12	1030878	1.0	0.1030267623979201	338776	338776	3288233	1.0	0.045454545454545456	1	1	22
gsa	68	1049056	1.0	0.09650701401884199	314844	314844	3262395	1.0	0.029411764705882353	1	1	34
gsa	10	evo_1035930.029	1.0	0.09544178796333531	230218	230218	2412130	1.0	0.05084745762711865	3	3	59
gsa	69	evo_1049056.031	1.0	0.08712806522073381	294100	294100	3375491	1.0	0.14285714285714285	5	5	35
gsa	83	evo_1286_AP.008	1.0	0.08454124696285448	286082	286082	3383934	1.0	0.05555555555555555	1	1	18
gsa	56	evo_1049056.013	1.0	0.0816199091572724	286901	286901	3515086	1.0	0.15384615384615385	4	4	26
gsa	2	evo_1035930.011	0.6750575872668583	0.07751197738273842	259606	175249	2260928	0.4	0.03571428571428571	5	2	56
gsa	61	evo_1049056.031	1.0	0.07549894222796032	254846	254846	3375491	1.0	0.02857142857142857	1	1	35
gsa	73	1049056	0.9511586815111334	0.0745814041524708	255808	243314	3262395	0.6666666666666666	0.058823529411764705	3	2	34
gsa	32	evo_1049056.013	0.7927405464834881	0.07240960818597326	321071	254526	3515086	0.5	0.038461538461538464	2	1	26
gsa	80	evo_1286_AP.037	0.5786492929146044	0.07228071928136735	385102	222839	3082966	0.5	0.058823529411764705	2	1	17
gsa	36	1365_A	1.0	0.06548547145856648	459472	459472	7016396	1.0	0.02744008336227857	79	79	2879
gsa	75	1052947	1.0	0.06225283425116278	296762	296762	4767044	1.0	0.041666666666666664	2	2	48
gsa	4	1052944	0.5438432136047159	0.06008661286194061	573213	311738	5188144	0.6666666666666666	0.043010752688172046	6	4	93
gsa	15	1053058	0.9132107250949717	0.0478522809915508	271923	248323	5189366	0.3333333333333333	0.010416666666666666	3	1	96
gsa	82	evo_1035930.029	0.5002981772711971	0.04312661423720944	207930	104027	2412130	0.5	0.01694915254237288	2	1	59
gsa	6	1052947	1.0	0.04248020366499659	202505	202505	4767044	1.0	0.020833333333333332	1	1	48
gsa	59	1036743	1.0	0.039916847338098846	203519	203519	5098574	1.0	0.0136986301369863	26	26	1898
